,content
22,"""진보를 멈출 줄 몰랐던 젊은 과학자의 기개, 사랑의 아픔을 마주하는 인간, 이내 대량 살상에 원조하게 된 국가 영웅의 윤리적 딜레마가 하나의 얼굴에 겹치는 집합의 과정""

리뷰와 별점 | #오펜하이머"
23,"<오펜하이머>는 미국의 핵폭탄 개발 계획 맨해튼 프로젝트를 이끈 과학자 오펜하이머의 이야기입니다. 입자이론 물리학자 이종필이 역사의 일부가 된오펜하이머의 삶을 글로 요약했습니다.

기획 | #오펜하이머 시대가 배신한 영웅의 삶에 대하여"
24,"봐야지...
혼자라도...

#혼영 #일상트 #오펜하이머"
25,"로버트는 얼마나 좋았을까…? ◔̯◔
아유 참 마음이 안 좋다…◔̯◔..☆
오펜하이머까지.. 만물무도설이 맞다..

JUST DIVE Wavve!
#웨이브 #Wavve #웨이브왜봐요 #무한도전 #하하 #오펜하이머"
26,"오펜하이머 용산아이맥스(용아맥) 23일 수요일 7:00 중블 I열 2연석 정가 양도합니다 !! 메세지 주세용
#오펜하이머 #용아맥 #중블 #정가양도"
27,"종근당건강 락토핏 골드 160g, 2개

https://link.coupang.com/a/62nUi
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.”

#만루홈런 #스우파2 #마스크걸 #오펜하이머"
28,"추석 명절 선물세트 완도 활전복 5종

https://link.coupang.com/a/62qj7
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.”

#만루홈런 #스우파2 #마스크걸 #오펜하이머"
29,"크록스 남녀공용 올 터레인

https://link.coupang.com/a/62meP
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.”

#만루홈런 #스우파2 #마스크걸 #오펜하이머"
30,원자핵이 축구공이라고 가정하고 서울 시청 앞 광장 한가운데 놔 두자. 그러면 전자는 수원쯤에 떠다니는 먼지 한 알이다. 그리고 시청부터 수원까지를 반지름으로 하는 이 지역은 축구공과 먼지 한 알이 차지하는 공간을 제외하면 텅 비어 있다. 그래서 원자의 대부분은 허공이다. #오펜하이머
31,"크록스 여성 브루클린 로우 웨지 힐 슬리퍼 샌들

https://link.coupang.com/a/62m5N
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.”

#만루홈런 #스우파2 #마스크걸 #오펜하이머"
32,"놀란 감독님의 시각으로 보는 #오펜하이머 보고 싶었다. 같이보자 친구야
@cchibi55
 @whipony
 @me_leho
 
@Bug4city
 #놀란감독"
33,영화 '#오펜하이머' 불호평
34,"#오펜하이머
1. 걸작이었다.
2. ONE WORLD OR NONE(하나의 세계 아니면 멸망)이 영화를 이해하는 데 큰 도움이 됐다.
3. 편집자가 아니라 관객으로서 이 책을 추천한다. 원작보다 훨씬 컴팩트하게 오펜하이머의 시대적 배경을 흡수할 수 있다.

https://m.yes24.com/Goods/Detail/119809561…"
35,"@bug4city
 #오펜하이머 
크리스토퍼놀란 감독 영화는 무조건이지…"
36,"#오펜하이머 보러..
왕십리 아이맥스!! 
기대기대!!"
37,"[뉴스레터] 2023년 8월 셋째 주

﹒스팀 출시와 함께 쏟아진 최악의 평가
﹒P의 거짓, 한국 콘솔 패키지 예약 판매 시작
﹒판교에서 만나는 게임 문화 축제 

#미니맵 #게임리뷰 #게임추천 #뉴스 #이슈 #오버워치2 #Steam #Riot #오펜하이머 #초전도체 #Riot"
38,"#LG전자 #스탠바이미고 

현재 7% 할인

상품 보러가기
 https://link.coupang.com/a/660c3

이 포스팅은 쿠팡파트너스 활동의 일환으로,
      이에 따른 일정액의 수수료를 제공받습니다.

 스탠바이미고  LED TV 할인 업데이트
    메가박스 CGV 블루레이  
   #오펜하이머  #영화"
39,"'오펜하이머 예매' 이동진 평점 이후 놀란 최고작 평가받는 진짜 이유 (유일한 단점, 쿠키, 후기)
 https://artivenews.co.kr/news/articleView.html?idxno=204…

#오펜하이머 #후기 #영화"
40,"욕먹는 오펜하이머

https://bltly.link/8jJdPZn

#오펜하이머 #노출 #섹스신 #평점 #영화 #15세 #가족 #ㅎㅂ"
41,"김상욱 교수: LK-99가 초전도체는 아닌 것 같다는 결론
#오펜하이머"
42,"[문화] '오펜하이머' 이틀 연속 박스오피스 1위... 누적 관객수 70만명 돌파 [공식]
#크리스퍼놀란 #오펜하이머 #오펜하이머주연 #오펜하이머개봉일 #오펜하이머1위 #박스오피스1위 #오펜하이머개봉첫날 #오펜하이머첫날 #오펜하이머개봉"
43,"편스토랑 레시피 박수홍의 감태 한우 초밥과 감태의 효능
#마라엽떡 #크라임씬 #InBloom1stWin #팽이버섯 #목이버섯 #정우성 #휘핑크림 #InBloom1stWin #부정투표 #ZEROBASEONE1stWin #버거뮤직_받아쓰기 #사카모토입니다만 #오펜하이머 #마스크걸 #편스토랑
https://blog.naver.com/b0injoongaeso/223185925578…"
44,"https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=4315865207&itemId=5014964203&vendorItemId=72324842987&sourceType=srp_product_ads&clickEventId=4164f709-f573-477a-9cfd-a867f7a5ae03&korePlacement=15&koreSubPlacement=5&clickEventId=4164f709-f573-477a-9cfd-a867f7a5ae03&korePlacement=15&koreSubPlacement=5&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #"
45,"보러가기!Click!

https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=7459291873&itemId=19438721263&vendorItemId=86549801394&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #왕가탕호루"
46,"보러가기!Click!

https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=7462292979&itemId=19453182766&vendorItemId=86563832688&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #왕가탕호루"
47,크리스토퍼 놀란의 '오펜하이머'는 원자폭탄 그 자체다 #영화리뷰 #로버트_다우니_주니어 #킬리언_머피 #오펜하이머 #크리스토퍼_놀란 https://omn.kr/258il 원종빈 기자
48,"https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=7448179405&itemId=19383750583&vendorItemId=86496228239&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #왕가탕호루"
49,"세상을 구한 자인가,
세상에게 자멸할 힘을 준 자인가 

<오펜하이머> 예매권 응모하러 가기
 https://bit.ly/44sXRkR 

#오펜하이머 #크리스토퍼놀란 #킬리언머피"
50,"#애플 (#Apple) #맥북에어 13

현재 10% 할인

상품 보러가기
 https://link.coupang.com/a/66XfQ

이 포스팅은 쿠팡파트너스 활동의 일환으로,
  이에 따른 일정액의 수수료를 제공받습니다.

  맥북 에어 할인 업데이트 유튜브 넷플릭스 
   메가박스 CGV 블루레이  #오펜하이머  #영화"
51,"보러가기!Click!

https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=6340209419&itemId=13297655537&vendorItemId=86684504771&pickType=COU_PICK&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #왕가탕호루"
52,"보러가기!Click!

https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=6126655663&itemId=11652658891&vendorItemId=78927089741&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #왕가탕호루"
53,"https://link.coupang.com/re/AFFSDP?lptag=AF0759042&subid=HIKIKIO79&pageKey=6000224950&itemId=10859094892&vendorItemId=84614673472&traceid=V0-153…

""이   포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다""

#쇼핑 #오펜하이머   #왕가탕호루"
54,원우 .. 민규 면도컷 계속 신경 쓰였나 봐 ㅠㅠㅋㅋㅋㅋㅋ 전원우 해냈군
55,"세븐틴의 축복엔 끝이 없네..
20230816~17
1.세븐틴 멤버 모두 위버스 방문
(승관 장문의 글, 쿱스와 승관에게 댓글+준,호시, 명호 셀카)
2.도겸, 명호 인스타
3.정한 라이브
4.스냅슛 쇼츠
5.준, 명호 트위터 셀카
6.민규 면도컷
7.도겸 고섹남
8.출국 사진
9.민규 라이브(+18일 호시 라이브)"
56,"민감한 피부를 위해, 100% 순면 리:트릿 몽글 베개

몸에 이로운 소재와 구조로 만든 핸드메이드 베개 쓰셔야죠

먼지와 보풀이 없는 저자극 순면 피그먼트!
마블 솜은 뭉침이 없이 폭신함이 오래가요

정전기와 전자파를 차단하는 항균 이온 배리어 커버
미세 플라스틱을 줄이는 착한 원단까지"
57,"민규이발=재밌음
민규면도컷=재밌음
민규라이브=재밋음

민규이발,면도컷 그리고라이브=재밋음재밋음재밋음재밋음존나재밋음 혼절수준이아님"
58,"락윗유 민규 면도컷 진짜 대박이다…
거울 속 민규만 모아봤는데 너무 >>폭룡적<< 그 자체라 뭔 말이 안 나온다"
59,"와 ** 미친거 아니야 진짜…?
김밍구 여자 무서운지 모르고 정말로 ,,, 
민규 면도컷 미쳤다"
60,와라 달콤한 민규 면도컷이여!! 했는데 정말 달다
61,드디어 민규 면도컷 !!
62,"면도컷 공략 지킨 민규 기특해요 
근데 수염이 없는데 연기 하는게 이상하대 ㅋㅋㅋㅋ"
63,"진심 민규 면도컷 케이팝계에 가장 위험한 영상 탑에 들만한 영상인데...?...거울 속에 비치는 김민규의 눈빛, 그의 손길, 턱선...이 모든게 곧 있으면 큰일날 것 같음...걍 완벽함...."
64,미친 민규 면도컷 떴다!!!!!!!
65,"굴려 굴려 자낮미인수

#후회_집착공 #상처_굴림수 #학원물
<월요일의 구원자> 지금 감상하기  https://bit.ly/3YDowd3?twclid=2-5lwe2w878ohax3piesaifi900"
66,민규 면도컷 왔다
67,"원우에게 무한한 감사를 
면도컷이 고혹적인 민규에게 찬사를"
68,"오늘 무슨 날이야?

위버스 출석률 박박
출국 ㄹㅈㄷ
명호표 호랑해그만해
민규 면도컷
석민이 팔..뚝
민규 라이브
호시 라이브

...나 자도 되는 거 맞지? 또 뭐 오는 거 아니지....?"
69,드디어 왔다 민규 면도컷
70,전원우 복덩어리  민규 면도컷 고맙다 원우야
71,"민규 면도컷 오우 씨몬 . . . ! !
전원우씨 정말 감사하고 사랑합니다"
72,"원우가 민규 면도컷 풀어줌....
노력한 코양이 기특햐요 복복복"
73,민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요 민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요민규야면도컷내놔요
74,"에효 순영이는 파마로 개개개개개 어려졌고 윤정한은 코코넛 향수에 김민규 면도컷에다가 이도겸은 ㄹㅈㄷ 근육…또 민규와 호시의 라이브…. 이게 진심으로 하루만에 일어날수있는거임? 세븐틴의 축복이 끝이없네

(쿱스는…제가 생각만해도 눈물나서….)"
75,"원우 기특한점 라이브 해줄려고 민규 면도 핑계로 우리 보러옴ㅠ
민규 면도컷을 따로 또 올려줌.....이 남자 우리 원우 어케 안 사랑해 요즘 전원우 사랑 MAX......내 사랑이 거우 이거밖에 안돼"
76,아 민규 면도 컷 원우가 올린걸로 되네 ㅋㅋㅋㅋㅋ
77,"Register to our 6-part Ground Operations webinar series focused on the standardization of ground operations. Gain insights from guest speakers from top Airlines, Ground Handling Service Providers and more.

If you missed our past webinars, you can watch on demand."
78,"230817 민규 위버스 
 면도컷이 너무길어…10초일줄알았는데"
79,"면도컷 영상 어디서 보나요 ㅠㅠ

원우 민규 면도컷"
80,"230817 원우가 올려준 롹윗유 1억뷰 민규 면도컷 

#SEVENTEEN #WONWOO #세븐틴 #원우"
81,민규 면도컷 왔다......
82,"민규 면도컷
위버스에 오히려좋아 댓글 테러 ㅋㅋㅋ"
83,"(오늘은 퇴트하기가 미련이 남아요,,
또 누가 올까 기대되는 밤이란 말이지요)

쪼오끔 긴 글인데 바쁘다면 마지막만 읽어줘요 ~
(긴글쓰는데 맛들렸나봐.. 큰일이다)

-
오늘은 정말 많은 일이 있었죠
쿱스 공지에 일본 출국, 민규의 면도컷과 라이브
도겸(두겸)이의 고섹남과 호시의 라이브까지 -… Show more"
84,원우 민규 면도컷 올렸넼ㅋㅋㅋㅋ 1분 44초동안 너무 행복했다
85,민규 면도컷 드디어!! 꺄아아
86,"민규 면도컷 그냥 그거 같음..
강아지가 주인 몰래 주인 케이크 먹다가
너무 맛있어서 인간으로 퐁~ 변해놓고
입 주변에 다 묻은 것도 모른채
폼 잡고 ""주인, 왔어요?"" 하는"
87,"230817
민규가 머리 자르고 공항나온 그날
호시가 홋동원 홋빈으로 나타난 그날
원우가 민규 면도컷 올려준 그날
민규와 호시가 라이브 켜준 그날..."
88,민규 면도컷 공개되다!!
89,"오늘 애들 출국 얼굴부터
위버스에
민규 면도컷에
도겸이 팔뚝에
민규 위버스 라이브까지
왤케 고자극만 가득가득"
90,"#XFlows is a powerful pillar of the $WAN bridge experience. It allows seamless native-to-native #crosschain transfers between #blockchains where an asset is natively minted. #Wanchain's XFlows currently supports:

 $USDT 
 $USDC
 $ETH
 $BTC"
91,"내최애가올려주는내차애의면도컷
사랑해원우 민규도너무사랑해"
92,"그러니까 오늘 뜬것들이
면도컷 이두겸 민규 위라 호싱이 위라 ..?
캐러뜰 배터져요 ㅠㅠㅠㅠㅠ"
93,"장하다 우리 원우
민규 면도컷"
94,"지금 
민규 면도컷 ->  도겸이 팔뚝 -> 민규 라이브 -> 호시 라이브
로 인해 미친 한 캐럿이 있습니다"
95,으아아ㅏㅏㅏ원우야!! 고맙다…민규 면도컷
96,민규 면도컷 올라왔다!
97,아니 오늘 진짜 원우의 축복이 끝이없네ㅜㅜㅜㅜㅜㅜ 출국부터 개잘생겨서 원프들 기 뽝 살려주고 캐럿들 하루 어땠는지 챙겨주고 락윗유 민규 면도컷 챙겨주고 우리집야옹이가 짱이야  사랑행
98,"https://pushoong.com/ask/1245366539
타임즈 선정 면도컷 1등 민규"
99,아니 민규 면도컷도 그렇고 오늘 관능미로 캐럿들 다 기절시키려는 심산이야? 캐럿 힘들다???.?.??.?.?.??. 와 ㅁㅊ 어지럽네
100,세상에!! 민규 면도컷이 드디어!!
101,"민규면도컷 끝까지 어케봄
숨을못쉰다고 눈을못마주치겟다고"
102,어제 진짜 피곤하긴 했는갑네.. 와 밥먹고 그냥 기절해서 라이브하고 도겸이 팔뚝이랑 민규 면도컷을 이제봤어
103,민규면도컷 영상이안끝나요..!!!!
104,"Just published - read the latest open access research focused on Resilience among Parents and Children with Autism Spectrum Disorder.
#Hindawi #OpenAccess"
105,"헐 민규 면도컷!!ㅋㅋㅋㅋㅋ
원우 찾앗나보네"
106,민규면도컷이라뇨
107,"오미친 민규면도컷,,,,,,,미쳤나"
108,"개웃겨 탐라 내리면 다 민규 면도 컷만 나와
오히려 조아"
109,대학 결정한다고 민규 라이브도 놓치고 면도컷도 놓치고 호시 라이브도 놓치고 그냥 뒷북치는 소녀됨.....
110,민규 면도컷 미친
111,민규 면도컷 떳다
112,"간만에 일찍 잤더니 잠든 사이에 민규 면도컷도 오고 민규 호시 라이브도 왔네
인생이 불행하다"
113,"민규 면도컷ㅋㅋㅋㅋㅋㅋㅋ
세븐틴의 축복이 끝이 없네"
114,"이랄수가 잠깐 1시간 폰 안 봤다고 민규 면도컷에 라이브까지 끗남,,.,,"
115,민규 면도컷 타임라인이 어떻게 되는거야???
116,"민규 면도컷
자기가 보기에는 수염은 없는데 
계속 면도 해서 이상하대ㅋㅋ"
117,"이것이 저의 계정의 이유.
삶의 이유이자 밍프하는 이유.
밍프하는 이유가 삶의 이유.
제가 미남을 추구하는 이유.
미남의 면도컷을 선호하는 이유.
제가 미친 얼빠가 된 이유.
제가 김.민.규에 미쳐서 살아가는 이유.
모든 이유들의 총정리 총집합입니다.
이 남자 때문에 제 인생이 이렇게 됐어요."
118,"누룽이다
보고시펏ㅅ서
민규 면도컷 보고와"
119,"애들 위버스에 글 올려주고
사진 올려주고
민규 면도컷 올라오고
오늘 내 생일임?"
120,아니!! 민규 면도컷이 드디어 왔다니ㅜㅜㅜㅜ
121,원우가 올린 민규의 면도컷 너무 멋있잖아최고다잉
122,"민규야 면도컷 10초라니
1분짜리가 긴 것 같니???????"
123,"Just published - read the latest open access research focused on Fully and Partially Replicated Experimental Designs for Evaluating Intravarietal Variability in Grapevine
#Hindawi #OpenAccess"
124,민규 면도컷 !!!@@@@@!!!!!
125,헐 민규 면도컷
126,민규 면도컷 미쳤는데
127,민규 자꾸 우리 간만 보고 대체 언제 면도컷 올려주려는 거야!!!!!!
128,민규야 면도컷풀자
129,"밍구 라이브,호싱이 라이브
귤바구니 전원 몸담그기 완료
위버스 게시글 폭탄
셀카,영상 제공
명호 도우인
인스타,인스타 스토리 제공
민규 면도컷
도겸 고섹남 재등장
개명한 윤금쪽
미친 미모의 공항 프리뷰들
이게 하루만에 일어난 일인거자나 세븐틴의 축복이란…달콤하다바쁘다 바빠 캐럿사회"
130,"원우 락윗유 1억 공약 민규 면도컷 
지켰구나 ㅋㅋㅋㅋㅋ"
131,아니 민규 면도 컷 너무 야한데요
132,에헤라디야 살맛 난다 민규 면도 컷 오셨네
133,"엄청난 용량에 고속 충전까지 가능한 
3포트 탑재 보조배터리

단 6일간, 검증된 와디즈 스토어에서 
5% 할인된 37,900원에 득템해 봐요"
134,"김민규 오늘 짧머 하고 나타난 거 너무 이뻐서 기특한우리강아디... 하고 쓰담쓰담 복복복...하고 있었는데 면도컷까지 아 오늘 너무 행복하고 또 행복하다
민규야 사랑행.."
135,민규 면도 컷--!!!!!!!!
136,왔다 민규 면도컷 역시 워눙이 약속지켰어
137,민규 면도컷 봐주세요
138,민규 면도컷~!~!
139,와 이걸 진짜 올려주다니ㅠㅜ드디어 민규 면도컷을 본당ㅠㅜ
140,"민규 면도컷 진짜 왜 소리가 없지!?!?!?!
2분동안 숨참고 보게 되는데
숨막혀서.......... ....
소리만 있었어도 덜 죽을것 같은데진심
진짜뒤질것같애"
141,와씨 민규 면도컷 떴다 하… 왜이렇게 섹시한거야???? 뭘 먹고 그렇게 잘생긴거야???? 진짜 결혼하고 싶다고
142,"젤리거즈패드로 하루 진정
NEW 더마토리 시카패드

올리브영 단독 1+1 기획

 피부 5대자극진정! #젤리거즈양면패드
 수분저장고 젤리패드로 피부 진정 

지금 올리브영에서 만나요

#더마토리 #dermatory #더마토리시카거즈패드 #더마토리시카패드 #시카패드 #진정패드"
143,하 씨... 여러분 저 진짜 변태 아니고 뭣도 아니거등요? 근데 민규 면도컷 겁나 돌려보고 있고 지금 두겸씨 팔뚝에 꽂혀가지고...
144,"오늘 제 2의 캐럿 생일인듯..
애들 위버스 와장창 와주고
원우가 직접 올려주는 민규 면도 컷
공항 출국 라이브와…김민규 라이브까지…

완벽했다"
145,드디어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 민규 면도컷 왔다ㅋㅋㅋㅋㅋㅋㅋ 왜 진지하지 김민규
146,아제발 민규 면도컷
147,"최신 업그레이드로 흡입 및 블로잉 기능이 통합되고, 다양한 브러시 헤드를 갖추고 있습니다
  https://yeallsion.com/index/detail.html?sno=MTAwNDc4NDE3MQ%3D%3D&coll_id=1001698093&csnpupoywbfyfqc=&utm_campaign=1004784171&utm_medium=TQY&adset_id=43172616&from=twitter&opt_id=631573&utm_source=twitter&utm_content=34038705&twclid=2-51ozelnnc3oh98g5xfpv4y9pg…"
148,우아어 미친 민규 면도컷 영상 떴어 얼른 모여
149,"민규 면도컷 드디어....
너무 폭룡적이라 걍 입틀막하고 봄
얼굴 구도 표정까지... 날 죽여"
150,민규 면도컷이라니
151,민규 진짜진짜 잘생겼는데 좀 웃기다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 헤메하고 찍는 면도컷ㅋㅋㅋㅋㅋㅋㅋㅌ
152,"오늘 밍프들 숨 넘어가는 날인가..
1. 썸머소닉 4주년이라 올라오는 레전드 직캠
2. 민규 눈썹 보이는 짧머
3. 민규 면도컷 공개
4. 민규 짧머 면도컷 이 후 위버스 라이브….."
153,"안되겟다 오늘도 일기 써야겠다...
-승철이 다쳐서 활동중지 공지에 움
-위버스 달려와서 걱정해준 승철이 글 읽고 또 움
-열두명이 큰형 걱정에 댓글로 우르르 달려온거보고 캐감동
-호시 에잇 원우 두겸 준 민규 위버스 보고 갬동
-민규 면도컷 올라온거 보고 극락
-민규 호시 연달아 짧은 위라ᰔᩚ"
154,"탄력 떨어진 피부에 쫀쫀하게 착붙
NEW 더마토리 레티날 탄력패드

 쭉 늘려서 쫀쫀하게 착붙!
 탱탱결 패드로 피부 탄력 UP!

지금 올리브영에서 만나요

#더마토리 #dermatory #더마토리레티날탄력패드 #더마토리탄력패드 #올리브영패드 #세로모공패드 #레티날탄력패드"
155,"승관이위버스댓글완전체
민규짧머
민규면도컷
도겸이팔뚝
민규위라
+수많은셀카들..

뇌 과부화 옴 짧은시간동안 너무 많은 일들이 벌어졌어....."
156,"나 지금 정신없어……. 민규 면도컷,도겸 팔뚝,민규 라이브…….. 바쁘다바빠 캐럿 사회.."
157,"1. 전원 위버스 방문
2. 민규 면도컷
3. 이도겸 팔뚝
4. 민규랑 호시 라이브
5. 위버스 게시글 9개

와... 세븐틴의 축복이 끝이없네 와"
158,"이번주 동안 일어난 일 
승관 위버스 글,활동재개 
쿱스 활동공지 
일본 출국
명호시 손깍지
원우 위버스 
두겸이 이름바꿔 등장
준휘 냥셀카 투척 
명호 위버스 인스타 투척
민규 면도컷 & 라이브
디노 라이브 댓글 등장 
두겸이 팔뚝 
호시 라이브
정한 두겸이 작명인 등장
두겸 삐져서 이석입니다만"
